province,lag,days_to_predict,train_last_date,avg_mae,avg_mse,mae_tot_pos,mse_tot_pos,mae_deaths,mse_deaths,mae_recovered,mse_recovered
Agrigento,5,5,20200630,0.3131313131313132,0.2257704914887544,0.4805069231137917,0.35801206217998705,,,0.4588870162801481,0.3192994122862761
Agrigento,5,6,20200630,0.3157894736842106,0.23015325847745685,0.4878831000944282,0.3713811043783044,,,0.4594853209582037,0.31907867105406623
Agrigento,5,7,20200630,0.3208955223880598,0.23972112677574064,0.4964477127465338,0.38857225286877184,,,0.4662388544176456,0.33059112745845
Agrigento,5,8,20200630,0.325925925925926,0.2492056464288751,0.5051686379100345,0.4064459009910826,,,0.4726091398677436,0.34117103829554274
Agrigento,5,9,20200630,0.33088235294117657,0.2590489223433955,0.5098137706010464,0.4129614223651806,,,0.4828332882224834,0.3641853446650059
Agrigento,5,10,20200630,0.3357664233576643,0.26862008220178496,0.5146711472430946,0.4200293670639682,,,0.4926281228298985,0.3858308795413867
Agrigento,5,11,20200630,0.3405797101449277,0.278758663969874,0.5181763277378525,0.4242086811856508,,,0.5035628026969304,0.4120673107239711
Agrigento,5,12,20200630,0.3453237410071943,0.28900402211480586,0.5212712494237536,0.4276273704965987,,,0.5146999735978295,0.4393846958478188
Agrigento,5,13,20200630,0.3500000000000001,0.2991030180005244,0.5243219579427132,0.4309972213888188,,,0.5256780420572872,0.4663118326127544
Agrigento,5,14,20200630,0.3546099290780143,0.30908912584992404,0.5272883316109299,0.4342416260075695,,,0.5365414556231128,0.4930257515422026
Agrigento,5,15,20200630,0.3591549295774648,0.31747952656829387,0.53394059767254,0.44644076511220854,,,0.5435241910598546,0.5059978145926731
Agrigento,5,16,20200630,0.36363636363636376,0.32575257902486826,0.5404998250479737,0.45846928688671273,,,0.5504092658611176,0.5187884501878921
Agrigento,5,17,20200630,0.36805555555555564,0.33565960787051813,0.5514356721902633,0.48635722614312954,,,0.5527309944764036,0.5206215974684248
Agrigento,5,18,20200630,0.37241379310344835,0.3463846296122157,0.5632576675544684,0.5184034290016252,,,0.5539837117558767,0.520750459835022
Agrigento,5,19,20200630,0.37899543378995443,0.3636952873004106,0.5769156618915223,0.559646627030315,,,0.560070639478341,0.5314392348709167
Agrigento,5,20,20200630,0.3854875283446713,0.38070819790570093,0.590303146336061,0.5998966038557683,,,0.5661594386979529,0.5422279898613345
Agrigento,5,21,20200630,0.39189189189189194,0.39659510046330465,0.6019428352070108,0.631990971813453,,,0.5737328404686652,0.5577943295764609
Agrigento,5,22,20200630,0.39821029082774057,0.4122350441713409,0.6133438853109859,0.6632743698028813,,,0.5812869871722358,0.5734307627111411
Agrigento,5,23,20200630,0.40444444444444455,0.42809756883745176,0.6254743995928644,0.6983132388475491,,,0.5878589337404692,0.5859794676648061
Agrigento,5,24,20200630,0.4105960264900663,0.4439806292802144,0.6378192734255059,0.7347340845295445,,,0.593968806044693,0.5972078033110989
Agrigento,5,25,20200630,0.4166666666666668,0.46104063000095613,0.6516850682611255,0.7794880146445351,,,0.5983149317388748,0.6036338753583333
Agrigento,5,26,20200630,0.4226579520697169,0.48114094039355965,0.6679628330204588,0.8389247889662077,,,0.6000110231886918,0.6044980322144713
Agrigento,5,27,20200630,0.42857142857142866,0.5072464610521661,0.6873847719903761,0.9204113320266826,,,0.5983295137239099,0.6013280511298157
Agrigento,5,28,20200630,0.4344086021505377,0.5321390587459823,0.7061524216103017,0.9979175847730001,,,0.5970733848413114,0.5984995914649471
Agrigento,5,29,20200630,0.44230769230769235,0.5669570675675708,0.7281760288291135,1.1014873335314768,,,0.5987470480939637,0.5993838691712357
Agrigento,5,30,20200630,0.4501061571125266,0.6123093487734977,0.7540986045338689,1.2411020632397205,,,0.596219866803711,0.5958259830807727
Agrigento,6,5,20200630,0.3131313131313132,0.2257704914887544,0.4805069231137917,0.35801206217998705,,,0.4588870162801481,0.3192994122862761
Agrigento,6,6,20200630,0.3157894736842106,0.23015325847745685,0.4878831000944282,0.3713811043783044,,,0.4594853209582037,0.31907867105406623
Agrigento,6,7,20200630,0.3208955223880598,0.23972112677574064,0.4964477127465338,0.38857225286877184,,,0.4662388544176456,0.33059112745845
Agrigento,6,8,20200630,0.325925925925926,0.2492056464288751,0.5051686379100345,0.4064459009910826,,,0.4726091398677436,0.34117103829554274
Agrigento,6,9,20200630,0.33088235294117657,0.2590489223433955,0.5098137706010464,0.4129614223651806,,,0.4828332882224834,0.3641853446650059
Agrigento,6,10,20200630,0.3357664233576643,0.26862008220178496,0.5146711472430946,0.4200293670639682,,,0.4926281228298985,0.3858308795413867
Agrigento,6,11,20200630,0.3405797101449277,0.278758663969874,0.5181763277378525,0.4242086811856508,,,0.5035628026969304,0.4120673107239711
Agrigento,6,12,20200630,0.3453237410071943,0.28900402211480586,0.5212712494237536,0.4276273704965987,,,0.5146999735978295,0.4393846958478188
Agrigento,6,13,20200630,0.3500000000000001,0.2991030180005244,0.5243219579427132,0.4309972213888188,,,0.5256780420572872,0.4663118326127544
Agrigento,6,14,20200630,0.3546099290780143,0.30908912584992404,0.5272883316109299,0.4342416260075695,,,0.5365414556231128,0.4930257515422026
Agrigento,6,15,20200630,0.3591549295774648,0.31747952656829387,0.53394059767254,0.44644076511220854,,,0.5435241910598546,0.5059978145926731
Agrigento,6,16,20200630,0.36363636363636376,0.32575257902486826,0.5404998250479737,0.45846928688671273,,,0.5504092658611176,0.5187884501878921
Agrigento,6,17,20200630,0.36805555555555564,0.33565960787051813,0.5514356721902633,0.48635722614312954,,,0.5527309944764036,0.5206215974684248
Agrigento,6,18,20200630,0.37241379310344835,0.3463846296122157,0.5632576675544684,0.5184034290016252,,,0.5539837117558767,0.520750459835022
Agrigento,6,19,20200630,0.37899543378995443,0.3636952873004106,0.5769156618915223,0.559646627030315,,,0.560070639478341,0.5314392348709167
Agrigento,6,20,20200630,0.3854875283446713,0.38070819790570093,0.590303146336061,0.5998966038557683,,,0.5661594386979529,0.5422279898613345
Agrigento,6,21,20200630,0.39189189189189194,0.39659510046330465,0.6019428352070108,0.631990971813453,,,0.5737328404686652,0.5577943295764609
Agrigento,6,22,20200630,0.39821029082774057,0.4122350441713409,0.6133438853109859,0.6632743698028813,,,0.5812869871722358,0.5734307627111411
Agrigento,6,23,20200630,0.40444444444444455,0.42809756883745176,0.6254743995928644,0.6983132388475491,,,0.5878589337404692,0.5859794676648061
Agrigento,6,24,20200630,0.4105960264900663,0.4439806292802144,0.6378192734255059,0.7347340845295445,,,0.593968806044693,0.5972078033110989
Agrigento,6,25,20200630,0.4166666666666668,0.46104063000095613,0.6516850682611255,0.7794880146445351,,,0.5983149317388748,0.6036338753583333
Agrigento,6,26,20200630,0.4226579520697169,0.48114094039355965,0.6679628330204588,0.8389247889662077,,,0.6000110231886918,0.6044980322144713
Agrigento,6,27,20200630,0.42857142857142866,0.5072464610521661,0.6873847719903761,0.9204113320266826,,,0.5983295137239099,0.6013280511298157
Agrigento,6,28,20200630,0.4344086021505377,0.5321390587459823,0.7061524216103017,0.9979175847730001,,,0.5970733848413114,0.5984995914649471
Agrigento,6,29,20200630,0.44230769230769235,0.5669570675675708,0.7281760288291135,1.1014873335314768,,,0.5987470480939637,0.5993838691712357
Agrigento,6,30,20200630,0.4501061571125266,0.6123093487734977,0.7540986045338689,1.2411020632397205,,,0.596219866803711,0.5958259830807727
Agrigento,7,5,20200630,0.3131313131313132,0.2257704914887544,0.4805069231137917,0.35801206217998705,,,0.4588870162801481,0.3192994122862761
Agrigento,7,6,20200630,0.3157894736842106,0.23015325847745685,0.4878831000944282,0.3713811043783044,,,0.4594853209582037,0.31907867105406623
Agrigento,7,7,20200630,0.3208955223880598,0.23972112677574064,0.4964477127465338,0.38857225286877184,,,0.4662388544176456,0.33059112745845
Agrigento,7,8,20200630,0.325925925925926,0.2492056464288751,0.5051686379100345,0.4064459009910826,,,0.4726091398677436,0.34117103829554274
Agrigento,7,9,20200630,0.33088235294117657,0.2590489223433955,0.5098137706010464,0.4129614223651806,,,0.4828332882224834,0.3641853446650059
Agrigento,7,10,20200630,0.3357664233576643,0.26862008220178496,0.5146711472430946,0.4200293670639682,,,0.4926281228298985,0.3858308795413867
Agrigento,7,11,20200630,0.3405797101449277,0.278758663969874,0.5181763277378525,0.4242086811856508,,,0.5035628026969304,0.4120673107239711
Agrigento,7,12,20200630,0.3453237410071943,0.28900402211480586,0.5212712494237536,0.4276273704965987,,,0.5146999735978295,0.4393846958478188
Agrigento,7,13,20200630,0.3500000000000001,0.2991030180005244,0.5243219579427132,0.4309972213888188,,,0.5256780420572872,0.4663118326127544
